Country,Price Index,month,C1_School closing_org,C2_Workplace closing_org,C3_Cancel public events_org,C4_Restrictions on gatherings_org,C5_Close public transport_org,C6_Stay at home requirements_org,C7_Restrictions on internal movement_org,C8_International travel controls_org,ConfirmedCases_org,ConfirmedDeaths_org,StringencyIndex_org,log_cases_org,log_death_org,CountryName,C1_School closing_dst,C2_Workplace closing_dst,C3_Cancel public events_dst,C4_Restrictions on gatherings_dst,C5_Close public transport_dst,C6_Stay at home requirements_dst,C7_Restrictions on internal movement_dst,C8_International travel controls_dst,ConfirmedCases_dst,ConfirmedDeaths_dst,StringencyIndex_dst,log_cases_dst,log_death_dst,date
Mexico,97.2,2020-10-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26077771.0,2649132.0,2239.3600000000006,17.07659386192557,14.789742974619363,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,501452077.0,13476803.0,88958.51000000024,20.03301860347236,16.416480543349557,10
Mexico,98.3,2020-11-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30342144.0,2962546.0,2152.8,17.22804822813315,14.901559929278578,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,674929008.0,14877546.0,88502.72000000032,20.33011807145401,16.515363721629072,11
Mexico,99.3,2020-12-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39586956.0,3594393.0,2224.5600000000004,17.49401025328406,15.094885967473395,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1053717759.0,19182641.0,95094.2400000006,20.77559047132,16.769516365587034,12
Mexico,102.5,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50652332.0,4367196.0,2224.5600000000004,17.740495848802524,15.289631942510448,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1464550441.0,24653083.0,94427.58000000076,21.10481416679357,17.02041256218904,13
Mexico,105.0,2021-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55678011.0,4863060.0,1866.66,17.835095869330047,15.397178633004556,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1550635716.0,27010059.0,82579.19,21.161930823793146,17.111719947165813,14
Mexico,109.2,2021-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67295623.0,6056567.0,1477.250000000001,18.024605770212656,15.616653860982668,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1835738875.0,32965325.0,86379.16999999993,21.330712894628988,17.310966839757143,15
Mexico,112.1,2021-04-01,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,68840861.0,6318085.0,1363.780000000001,18.047308051018877,15.658926872154026,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1891368494.0,33584221.0,75822.20000000011,21.360566475433288,17.32956693131132,16
Mexico,120.7,2021-05-01,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,73811722.0,6830938.0,1377.640000000001,18.11702812519414,15.73697270379562,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2042243457.0,35988314.0,71435.86999999962,21.437314774851465,17.398704860398478,17
Mexico,121.6,2021-06-01,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,73938227.0,6915108.0,1333.200000000001,18.11874054580825,15.74921928579118,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2011296808.0,35700717.0,61062.77999999989,21.42204552958612,17.390681358592442,18
Mexico,121.8,2021-07-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82258182.0,7326021.0,1513.780000000001,18.22537343202272,15.80694322531939,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2118195381.0,37411588.0,58447.63999999956,21.473830328218508,17.437491080696272,19
